U_B	U_A	U_A1
20.40	0.64	0.64
20.55	0.78	0.78
20.75	0.92	0.92
20.90	1.08	1.08
21.10	1.21	1.21
21.30	1.32	1.32
21.50	1.33	1.33
21.70	1.21	1.21
21.85	1.04	1.04
22.05	0.82	0.82
22.25	0.63	0.63
22.45	0.47	0.47
22.60	0.34	0.34
22.80	0.24	0.24
23.00	0.17	0.17
23.15	0.12	0.12
23.35	0.09	0.09
23.50	0.09	0.09
23.70	0.11	0.11
23.90	0.14	0.14
24.10	0.21	0.21
24.25	0.28	0.28
24.45	0.40	0.40
24.65	0.51	0.51
24.85	0.66	0.66
25.05	0.83	0.83
25.20	1.04	1.04
25.40	1.22	1.22
25.60	1.46	1.46
25.80	1.70	1.70
25.95	1.92	1.92
26.15	2.09	2.09
26.35	2.15	2.15
26.50	2.03	2.03
26.70	1.81	1.81
26.90	1.49	1.49
27.05	1.21	1.21
27.25	0.92	0.92
27.45	0.68	0.68
27.65	0.47	0.47
27.80	0.34	0.34
28.00	0.24	0.24
28.20	0.18	0.18
28.35	0.16	0.16
28.60	0.17	0.17
28.75	0.21	0.21
28.95	0.30	0.30
29.10	0.40	0.40
29.30	0.55	0.55
29.45	0.70	0.70
29.70	0.93	0.93
29.85	1.13	1.13
30.05	1.41	1.41
30.20	1.68	1.68
30.40	1.99	1.99
30.60	2.31	2.31
30.75	2.63	2.63
31.00	2.93	2.93
31.15	3.07	3.07
31.35	3.05	3.05
31.50	2.85	2.85
31.75	2.51	2.51
31.90	2.19	2.19
32.10	1.76	1.76
32.25	1.38	1.38
32.45	1.04	1.04
32.65	0.79	0.79
32.80	0.58	0.58
33.00	0.43	0.43
33.20	0.35	0.35
33.40	0.32	0.32
33.55	0.34	0.34
33.75	0.41	0.41
33.95	0.53	0.53
34.15	0.69	0.69
34.35	0.90	0.90
34.50	1.18	1.18
34.70	1.48	1.48
34.90	1.81	1.81
35.05	2.18	2.18
35.25	2.57	2.57
35.45	2.99	2.99
35.60	3.42	3.42
35.80	3.87	3.87
36.00	4.12	4.12
36.20	4.27	4.27
36.35	4.20	4.20
36.55	3.98	3.98
36.75	3.65	3.65
36.95	3.18	3.18
37.10	2.73	2.73
37.30	2.19	2.19
37.50	1.76	1.76
37.65	1.38	1.38
37.85	1.07	1.07
38.05	0.86	0.86
38.25	0.71	0.71
38.45	0.66	0.66
38.65	0.68	0.68
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.72	0.72
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.72	0.72
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.73	0.73
38.70	0.74	0.74
